Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Motherboard,Colorful BATTLE-AX B650M-E PRO V14 AMD M-ATX Motherboard,Colorful,"৳ 11,900","৳ 12,500",৳ 600,In Stock
Motherboard,Biostar B550MHP Micro ATX AMD AM4 Motherboard,Biostar,Checkout Discount 100 TK,"৳ 8,500","৳ 1,000","৳ 9,500"
Motherboard,MSI PRO B850M-P WIFI DDR5 AM5 mATX Motherboard,MSI,"৳ 23,200","৳ 25,500","৳ 2,300",In Stock
Motherboard,Biostar A520MHP V 6.0 Socket Am4 DDR4 Motherboard,Biostar,Checkout Discount 100 TK,"৳ 6,500","৳ 1,000","৳ 7,500"
Motherboard,Maxsun Challenger A620A 2.5G DDR5 AMD Motherboard,Maxsun,"৳ 10,800","৳ 12,700","৳ 1,900",In Stock
Motherboard,MAXSUN MS-H610M INTEL 666 WIFI6 M-ATX D5 Motherboard,MAXSUN,"৳ 11,700","৳ 12,800","৳ 1,100",In Stock
Motherboard,Asus PRIME H610M-CS D4 mATX 14th Gen Motherboard,Asus,"৳ 10,200","৳ 10,800",৳ 600,In Stock
Motherboard,ASUS PRIME B760M-F WIFI DDR5 LGA 1700 micro-ATX Motherboard,ASUS,"৳ 17,200","৳ 19,500","৳ 2,300",In Stock
Motherboard,Asus PRIME B760M-F WIFI Intel DDR5 micro-ATX Motherboard,Asus,"৳ 17,500","৳ 18,700","৳ 1,200",In Stock
Motherboard,MSI PRO X870E-P WIFI AMD DDR5 ATX Motherboard,MSI,"৳ 36,800","৳ 39,500","৳ 2,700",In Stock
Motherboard,MSI H810M GAMING WIFI6E Intel DDR5 mATX Motherboard,MSI,"৳ 19,900","৳ 21,500","৳ 1,600",In Stock
Motherboard,MSI PRO H810I WIFI Intel DDR5 Mini-ITX Motherboard,MSI,"৳ 18,900","৳ 21,000","৳ 2,100",In Stock
Motherboard,MSI PRO B840M-P WIFI6E AMD DDR5 mATX Motherboard,MSI,"৳ 18,900","৳ 20,500","৳ 1,600",In Stock
Motherboard,Asus TUF GAMING B550M Plus WIFI II AM4 microATX AMD Motherboard,Asus,"৳ 18,300","৳ 25,000","৳ 6,700",In Stock
Motherboard,ASRock B850M-X WiFi AMD Micro ATX Motherboard,ASRock,"৳ 17,900","৳ 19,000","৳ 1,100",In Stock
Motherboard,ASRock X870E Nova WiFi 7 AM5 DDR5 ATX Motherboard,ASRock,"৳ 54,999","৳ 61,050","৳ 6,051",In Stock
Motherboard,ASROCK B850 PRO-A WiFi 6E AM5 DDR5 ATX Motherboard,ASROCK,"৳ 27,500","৳ 29,500","৳ 2,000",In Stock
Motherboard,Gigabyte B760M DS3H WIFI6E GEN5 Intel DDR5 Gaming Motherboard,Gigabyte,"৳ 19,000","৳ 20,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B760M G AX DDR5 Intel LGA1700 Micro ATX Motherboard,GIGABYTE,"৳ 19,000","৳ 20,000","৳ 1,000",In Stock
Motherboard,GIGABYTE B760M D3HP WIFI6 DDR5 14th GEN Micro ATX Motherboard,GIGABYTE,"৳ 19,000","৳ 19,500",৳ 500,In Stock
Motherboard,GIGABYTE Z790M AORUS ELITE AX LGA1700 DDR5 Micro ATX Motherboard,GIGABYTE,"৳ 36,000","৳ 39,000","৳ 3,000",In Stock
Motherboard,Gigabyte B860M EAGLE PLUS WIFI6E DDR5 Micro ATX Intel Motherboard,Gigabyte,"৳ 30,500","৳ 31,500","৳ 1,000",In Stock
Motherboard,NZXT N9 Z890 Intel LGA1851 Wi-Fi 7 ATX Gaming Motherboard (White),NZXT,"৳ 59,500","৳ 61,000","৳ 1,500",In Stock
