Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Graphics Card,ASUS Dual GeForce RTX 5050 8GB GDDR6 OC Edition Graphics Card,ASUS,"৳ 47,900","৳ 49,900","৳ 2,000",In Stock
Graphics Card,MAXSUN GEFORCE GTX 1050 Ti 4GB GDDR5 Graphics Card,MAXSUN,"৳ 19,500","৳ 20,000",৳ 500,In Stock
Graphics Card,Gigabyte GeForce RTX 5060 WINDFORCE MAX OC 8G Graphics Card,Gigabyte,"৳ 51,900","৳ 57,000","৳ 5,100",In Stock
Graphics Card,ASUS PRIME GeForce RTX 5070 OC Edition 12GB GDDR7 Graphics Card,ASUS,"৳ 117,900","৳ 131,000","৳ 13,100",In Stock
Graphics Card,ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6 Graphics Card,ASUS,"৳ 29,999","৳ 45,000","৳ 15,001",In Stock
Graphics Card,ASUS Dual GeForce RTX 5060 8GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 57,000","৳ 57,500",৳ 500,In Stock
Graphics Card,ASUS Dual GeForce RTX 5060 White OC Edition 8GB GDDR7 Graphics Card,ASUS,"৳ 59,000","৳ 60,500","৳ 1,500",In Stock
Graphics Card,ASUS Dual GeForce RTX 5070 12GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 87,999","৳ 109,000","৳ 21,001",In Stock
Graphics Card,GUNNIR Intel Arc A380 Photon 6G OC W GDDR6 Graphics Card,GUNNIR,"৳ 17,999","৳ 19,000","৳ 1,001",In Stock
Graphics Card,Maxsun Intel Arc B570 Milestone 10G 10GB GDDR6 Graphics Card (Black),Maxsun,"৳ 35,000","৳ 36,000","৳ 1,000",In Stock
Graphics Card,INNO3D GeForce RTX 5050 TWIN X2 8GB GDDR6 Graphics Card,INNO3D,"৳ 44,900","৳ 46,000","৳ 1,100",In Stock
Graphics Card,PNY GeForce RTX 5060 8GB GDDR7 Graphics Card,PNY,"৳ 49,999","৳ 55,000","৳ 5,001",In Stock
Graphics Card,Yeston Radeon RX 9060 XT GAEA 16GB GDDR6 Gaming Graphics Card,Yeston,"৳ 62,900","৳ 64,500","৳ 1,600",In Stock
Graphics Card,Manli Stellar GeForce RTX 5060 Ti OC 16GB GDDR7 Graphics Card (Black),Manli,"৳ 92,000","৳ 93,000","৳ 1,000",In Stock
Graphics Card,ASUS Dual GeForce RTX 5050 8GB GDDR6 Graphics Card,ASUS,"৳ 47,900","৳ 49,000","৳ 1,100",In Stock
Graphics Card,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 92,000","৳ 99,000","৳ 7,000",In Stock
Graphics Card,Gigabyte GeForce RTX 5060 GAMING OC 8G GDDR7 Graphics Card,Gigabyte,"৳ 52,999","৳ 59,500","৳ 6,501",In Stock
Graphics Card,MSI GeForce RTX 5050 8G VENTUS 2X OC 8GB GDDR6 Graphics Card,MSI,"৳ 47,500","৳ 49,500","৳ 2,000",In Stock
Graphics Card,Sapphire Pulse AMD Radeon RX 9060 XT Gaming OC 8GB GDDR6 Graphics Card,Sapphire,"৳ 52,900","৳ 53,900","৳ 1,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5050 Twin Edge 8GB GDDR6 Graphics Card,ZOTAC,"৳ 44,500","৳ 49,500","৳ 5,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5050 Twin Edge OC 8GB GDDR6 Graphics Card,ZOTAC,"৳ 45,500","৳ 50,500","৳ 5,000",In Stock
Graphics Card,MSI GeForce RTX 5050 8G SHADOW 2X OC 8GB GDDR6 Graphics Card,MSI,"৳ 44,500","৳ 47,500","৳ 3,000",In Stock
Graphics Card,ASUS TUF Gaming GeForce RTX 5070 Ti 16GB GDDR7 OC Edition Graphics Card,ASUS,"৳ 188,900","৳ 190,900","৳ 2,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5070 Ti AMP Extreme INFINITY ULTRA 16GB GDDR7 Graphics Card,ZOTAC,"৳ 158,900","৳ 165,000","৳ 6,100",In Stock
Graphics Card,Zotac Gaming GeForce RTX 5070 SOLID 12GB GDDR7 Graphics Card,Zotac,"৳ 103,900","৳ 105,900","৳ 2,000",In Stock
Graphics Card,Sapphire PURE AMD Radeon RX 9070 Gaming OC 16GB GDDR6 Graphics Card White,Sapphire,"৳ 104,900","৳ 105,900","৳ 1,000",In Stock
Graphics Card,Sapphire NITRO+ AMD Radeon RX 9070 XT 16GB Gaming OC GDDR6 Graphics Card,Sapphire,"৳ 119,900","৳ 125,000","৳ 5,100",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5070 Ti AMP Extreme INFINITY 16GB GDDR7 Graphics Card,ZOTAC,"৳ 152,900","৳ 155,900","৳ 3,000",In Stock
Graphics Card,Powercolor Reaper AMD Radeon RX 9060 XT 16GB GDDR6 Graphics Card,Powercolor,"৳ 69,000","৳ 71,000","৳ 2,000",In Stock
Graphics Card,ZOTAC GAMING GeForce RTX 5060 Twin Edge 8GB GDDR7 Graphics Card,ZOTAC,"৳ 50,999","৳ 55,000","৳ 4,001",In Stock
